nursery_site,species,date,batch_id,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,climate_region,genus_species,variety,origin,leaf_type,slenderness,MAT,MAP
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,12.39,20.345,1.13,14.0007,1.14614975,1.255272505,0.053078443,1.093071306,1.308457694,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.091202583,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,17.545,22.84,1.686,29.58087,1.471010943,1.255272505,0.22685757,1.244153373,1.3586961,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.096095754,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,23.105,36.155,2.277,52.610085,1.721069003,1.431363764,0.357363031,1.363705973,1.558168366,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.098550097,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,19.275,23.735,1.515,29.201625,1.46540702,1.431363764,0.180412633,1.284994387,1.375389236,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.078599222,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,19.305,21.605,1.409,27.200745,1.434580799,1.431363764,0.148910993,1.285669806,1.334554271,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.072986273,15.39166667,698
A,ulmus_parvifolia_todd,11/4/2016,UMT_27,27,25.5,32.22,2.025,51.6375,1.712965208,1.431363764,0.306425028,1.40654018,1.508125536,South Australia,ulmus_parvifolia,todd,non-native,deciduous,0.079411765,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,18.09,21.705,1.927,34.85943,1.542320282,1.255272505,0.284881715,1.257438567,1.33655979,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.106522941,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,14.12,22.84,1.605,22.6626,1.355309733,1.431363764,0.205475037,1.149834697,1.3586961,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.113668555,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,17.575,24.682,1.403,24.657725,1.391953005,1.431363764,0.147057671,1.244895334,1.392380348,South Australia,angophora_costata,NA,native,evergreen,0.079829303,15.39166667,698
A,magnolia_grandiflora,11/4/2016,MGL_18,18,15.635,17.92,1.186,18.54311,1.268182575,1.255272505,0.074084689,1.194097886,1.253338005,South Australia,magnolia_grandiflora,NA,non-native,evergreen,0.075855453,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,18.2,25.595,1.332,24.2424,1.384575613,1.431363764,0.124504225,1.260071388,1.408155134,South Australia,angophora_costata,NA,native,evergreen,0.073186813,15.39166667,698
A,eucalyptus_leucoxylon_eukydwarf,11/4/2016,ELE_18,18,21.095,29.875,1.775,37.443625,1.573377887,1.255272505,0.249198357,1.32417953,1.475307914,South Australia,eucalyptus_leucoxylon,eukydwarf,native,evergreen,0.084143162,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,17.815,25.285,1.509,26.882835,1.429475066,1.431363764,0.17868924,1.250785827,1.402862958,South Australia,angophora_costata,NA,native,evergreen,0.084703901,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,20.975,21.56,1.605,33.664875,1.527177006,1.431363764,0.205475037,1.32170197,1.333648757,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.076519666,15.39166667,698
A,corymbia_maculata,11/4/2016,CM_27,27,21.99,26.58,2.095,46.06905,1.663409257,1.431363764,0.321184027,1.342225229,1.424554977,South Australia,corymbia_maculata,NA,native,evergreen,0.095270578,15.39166667,698
A,eucalyptus_leucoxylon_eukydwarf,11/4/2016,ELE_18,18,25.965,32.235,1.631,42.348915,1.626842288,1.255272505,0.212453961,1.414388327,1.508327675,South Australia,eucalyptus_leucoxylon,eukydwarf,native,evergreen,0.062815328,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,15.755,17.945,1.351,21.285005,1.328073757,1.255272505,0.130655349,1.197418408,1.253943463,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.085750555,15.39166667,698
A,ulmus_parvifolia_todd,11/4/2016,UMT_27,27,25.185,34.855,2.522,63.51657,1.802887037,1.431363764,0.401745082,1.401141955,1.542265087,South Australia,ulmus_parvifolia,todd,non-native,deciduous,0.100138972,15.39166667,698
A,eucalyptus_leucoxylon_eukydwarf,11/4/2016,ELE_18,18,21.145,24.165,1.887,39.900615,1.60097959,1.255272505,0.2757719,1.325207689,1.383186799,South Australia,eucalyptus_leucoxylon,eukydwarf,native,evergreen,0.089240955,15.39166667,698
A,corymbia_maculata,11/4/2016,CM_27,27,16.5,22.205,1.778,29.337,1.467415701,1.431363764,0.249931757,1.217483944,1.346450778,South Australia,corymbia_maculata,NA,native,evergreen,0.107757576,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,12.545,15.845,1.126,14.12567,1.150009056,1.255272505,0.051538391,1.098470666,1.199892244,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.089756875,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,18.56,21.935,1.691,31.38496,1.496721579,1.255272505,0.228143608,1.268577972,1.341137639,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.091109914,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,19.68,23.575,1.68,33.0624,1.519334376,1.255272505,0.225309282,1.294025094,1.372451701,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.085365854,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,14.185,19.865,1.19,16.88015,1.227376302,1.255272505,0.075546961,1.15182934,1.298088569,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.083891435,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,11.655,15.485,1.05,12.23775,1.087701577,1.255272505,0.021189299,1.066512278,1.18991121,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.09009009,15.39166667,698
