nursery_site,species,genus_species,volume,climate_region,origin,leaf_type,calliper300.mean,rcd.mean,height_m.mean,sizeindex.mean,calliper300.se,rcd.se,height_m.se,sizeindex.se,MAT,MAP
C,fraxinus_griffithii,fraxinus_griffithii,45,New South Wales,non-native,evergreen,28.01,39.008,2.2132,62.189616,0.9042331,0.989551161,0.175342636,5.753038161,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,25,New South Wales,native,evergreen,14.50565789,20.94105263,1.371657895,19.98433237,0.231974116,0.237755639,0.023193824,0.54323401,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,45,New South Wales,native,evergreen,37.95857143,51.71928571,3.216571429,121.8333846,0.976077937,1.301998132,0.055244185,3.004681386,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,300,New South Wales,native,evergreen,76.765,92.343125,4.925875,379.1947881,1.960678864,2.258984233,0.134487976,18.25552106,16.69166667,1175
C,brachychiton_acerifolius,brachychiton_acerifolius,200,New South Wales,native,deciduous,100.4766667,113.7716667,3.821333333,384.3478,3.743176384,3.701187122,0.221294926,29.92500546,16.69166667,1175
C,magnolia_grandiflora_exmouth,magnolia_grandiflora,400,New South Wales,non-native,evergreen,78.22833333,99.135,3.841333333,300.77891,0.896912915,2.633222044,0.155676302,15.51065493,16.69166667,1175
C,eucalyptus_pilularis,eucalyptus_pilularis,45,New South Wales,native,evergreen,33.12222222,53.00555556,2.754666667,91.10296278,1.006448,1.29982329,0.108008359,3.96299988,16.69166667,1175
C,eucalyptus_pilularis,eucalyptus_pilularis,300,New South Wales,native,evergreen,61.35125,84.81,3.68125,226.4385575,2.021637512,2.325456048,0.127642323,13.90132622,16.69166667,1175
C,jacaranda_mimosifolia,jacaranda_mimosifolia,25,New South Wales,non-native,deciduous,22.11277778,29.94611111,1.869666667,41.65640611,1.179344542,1.309952495,0.077180524,3.152145425,16.69166667,1175
C,olea_europaea,olea_europaea,100,New South Wales,non-native,evergreen,30.60975,38.6595,2.5034,76.762716,0.60973511,0.683936352,0.029779399,2.097135338,16.69166667,1175
C,ulmus_parvifolia,ulmus_parvifolia,400,New South Wales,non-native,deciduous,68.9795,88.5385,3.5062,241.552468,1.797765658,2.451947871,0.055853738,6.331384978,16.69166667,1175
C,banksia_integrifolia,banksia_integrifolia,75,New South Wales,native,evergreen,49.49363636,73.89181818,2.984363636,148.8648236,1.924877339,2.682804695,0.128820896,10.84071355,16.69166667,1175
C,fraxinus_griffithii,fraxinus_griffithii,25,New South Wales,non-native,evergreen,12.10820513,15.77679487,1.168333333,14.19053782,0.228391923,0.380441868,0.029518363,0.511775289,16.69166667,1175
